信息、信息媒体与信息资源,sub-concept,信息资源建设
信息资源是信息活动中各种要素的总称，包括信息、设备、技术和人等。综合国内外目前比较流行的观点，我们可以把人们对信息资源概念的理解归纳为两大类：一类是狭义的理解，即从信息本体出发，认为信息资源是经过人类选择、组织、序化并大量积累起来的有用信息的集合。另一类是广义的理解，即认为信息资源是指人类社会活动中所积累的信息，以及创造信息的人和相关信息技术的集合。我们对信息资源的定义：在人类信息活动中产生的，并经过人们的选择、收集、组织、加工、存贮、转换等过程而形成的可利用的信息集合。这个定义的要点：,sub-concept,信息资源的含义目前有多种看法：
信息资源是信息的集合；,sub-concept,信息资源的含义目前有多种看法：
信息资源对信息是有选择的；,sub-concept,信息资源的含义目前有多种看法：
信息资源是可利用的；,sub-concept,信息资源的含义目前有多种看法：
信息资源是经过组织和有序化的；,sub-concept,信息资源的含义目前有多种看法：
信息资源是通过人类的一系列劳动而建设起来的。,sub-concept,信息资源的含义目前有多种看法：
信息资源的特性：,sub-concept,信息资源
可建设性,sub-concept,信息资源的特性：
再生性,sub-concept,信息资源的特性：
动态性,sub-concept,信息资源的特性：
冗余性,sub-concept,信息资源的特性：
价值的潜在性,sub-concept,信息资源的特性：
信息资源的种类：,sub-concept,信息资源
按照信息载体的形式进行划分，有纸张印刷型、缩微型、视听型、电子型、网络型；,sub-concept,信息资源的种类：
按照信息资源的编辑出版形式进行划分，有图书、期刊、科技报告、专利文献、会议文献、政府出版物、学位论文、标准文献、产品样本等。,sub-concept,信息资源的种类：
按照信息资源的维护和使用权限划分，有：永久保存型指信息服务机构需要长期入藏的信息资源，如纸本书刊、光盘等。镜像服务型主要指国内外一些大型数据库，通过镜像的方式拷贝到本地的服务器上供用户存取。尽管这类资源的保存和维护责任不由自己承担，但它使用起来就如同自己的资源一样方便、快捷。网络服务型如远程数据库，存放在远程服务器上，并由其他机构负责管理和维护，使用者通过一定的协议取得对该资源的存取权限，并在自己的网页上设置连接点，点击接点登录并使用该资源库。链接存取型主要是对网络上的各类免费使用的数据库资源进行捕获和筛选，并通过组织资源导航链接而进行信息的存取。思考题,sub-concept,信息资源的种类：
什么是信息？信息有那些基本特征？,sub-concept,信息资源的种类：
常用的信息源有哪些？它们各有什么优缺点？,sub-concept,信息资源的种类：
什么是信息媒体？信息媒体的构成要素有哪些？,sub-concept,信息资源的种类：
什么是信息资源？信息资源的特征是什么？,sub-concept,信息资源的种类：
信息资源的类型是怎样划分的？,sub-concept,信息资源的种类：
纸质信息资源纸质信息资源是指包括各种以纸张材料为载体，以印刷、手写、复制等为记录手段而形成的各种信息媒体的集合。,sub-concept,信息资源建设
图书,sub-concept,纸质信息资源纸质信息资源是指包括各种以纸张材料为载体，以印刷、手写、复制等为记录手段而形成的各种信息媒体的集合。
定义ISO规定，49页及49页以上，构成一个单元的文献（不包括封面和扉页）。UNISCO规定，图书是指49页以上（不含封面）的非定期出版物。我们的定义：图书是通过一定的方法与手段，将知识内容以一定形式的符号，按照一定的体例，系统地记录于一定形态的载体之上，用以表达思想、积累经验、保存知识、传递信息的工具。,sub-concept,图书
期刊期刊是一种定期或不定期的连续出版物，以定期的居多，出版周期一般不超过一年，具有固定的名称和统一的版式，使用连续的卷、期和年月顺序号，各期内容不重复，登载多个作者的多篇文章，极少有再版。,sub-concept,纸质信息资源纸质信息资源是指包括各种以纸张材料为载体，以印刷、手写、复制等为记录手段而形成的各种信息媒体的集合。
学术性期刊的作用1   是科学技术成就的记载；2   是传递学术信息的重要媒体；3   能够培养和发现人才；4能够检阅单位和个人的研究成果,sub-concept,期刊期刊是一种定期或不定期的连续出版物，以定期的居多，出版周期一般不超过一年，具有固定的名称和统一的版式，使用连续的卷、期和年月顺序号，各期内容不重复，登载多个作者的多篇文章，极少有再版。
核心期刊布拉德福搜集了一年中登载了电技术方面论文的所有期刊共284种，并按照每种期刊登载电技术方面论文数量的多少排序。经过统计他发现，登载电技术论文最多的前10种期刊，包含了全部电技术论文的1/3；而紧接着的49种期刊，也登载了1/3的论文；而剩下的1/3的论文，则是由225种期刊登载的。于是，布拉德福得出结论：在登载某一学科文献的所有期刊中，存在着由若干种期刊构成的核心区域，在其周围还有另外两个区域，其中的每一个区域都含有与核心区域中数量相等的该学科文献。那么，第二区域的期刊数量为核心区域期刊数量的n倍，而第三区域的期刊数量则为核心区域期刊数量的n2倍。,sub-concept,期刊期刊是一种定期或不定期的连续出版物，以定期的居多，出版周期一般不超过一年，具有固定的名称和统一的版式，使用连续的卷、期和年月顺序号，各期内容不重复，登载多个作者的多篇文章，极少有再版。
期刊即P1 : p2 : p3 = 1: n : n2n ≈5如下图：这就是著名的布拉德福文献分布定律。人们据此就将核心区域的期刊称为核心期刊。1    n    n2.核心期刊定义：核心期刊又称重点期刊，是指那些学科信息含量大，代表该学科发展水平，所刊载的论文使用寿命长，利用率较高的期刊。.判别核心期刊的标准：（1）期刊论文的被摘率；（2）期刊论文的被引用率；（3）期刊流通过程中的读者利用率。,sub-concept,纸质信息资源纸质信息资源是指包括各种以纸张材料为载体，以印刷、手写、复制等为记录手段而形成的各种信息媒体的集合。
其他类型的纸质信息资源,sub-concept,纸质信息资源纸质信息资源是指包括各种以纸张材料为载体，以印刷、手写、复制等为记录手段而形成的各种信息媒体的集合。
科技报告也称研究报告或技术报告，是研究课题进展期情况的实际记录与研究成果的系统总结。.美国著名的四大报告：PB 报告——政府研究报告AD报告——国防部研究报告NASA报告——国家宇航局报告DOE报告——国家能源部报告科技报告一般分为机密、秘密、非密限制发行和非密公开发行四个密级。每种报告都有特定的代号。,sub-concept,其他类型的纸质信息资源
政府出版物联合国教科文组织规定，凡根据国家机关的命令，并且由国家负担经费而出版的一切记录，都是政府出版物。包括：国会记录、司法资料、方针政策、规章制度、政府报告、政府决议以及调查、统计资料等。由于是官方正式出版，信息内容准确、权威，是政务信息和决策信息的重要来源。,sub-concept,其他类型的纸质信息资源
会议文献指在国内外各种学术会议上宣读或交流的论文、报告以及由会议编辑的会议录等。会议文献具有以下特点：（1）传递信息新颖及时；（2）信息的针对性强；（3）集中反映了各种观点；（4）能够获得许多难得的信息。会议文献的不足是：反映的信息不够完整、准确。,sub-concept,其他类型的纸质信息资源
学位论文指研究机构、高等院校的研究生为获取学位而撰写的学术论文。学位论文的作用表现在：（1）了解一门学科或课题研究的历史与现状；（2）作为重要的书目参考工具或原始情报源；（3）帮助确定研究选题；（4）开发院校课程内容。学位论文的收集、利用目前极不理想。,sub-concept,其他类型的纸质信息资源
专利文献指伴随各种发明的专利申请、审查、确认和公布而产生的一系列文献，主要是专利说明书。专利文献具有新颖性、实用性和详细性的特征。专利文献的作用表现在：（1）避免研究的重复；（2）在引进或输出技术时获得知识产权保护或规避侵权；（3）了解竞争对手的技术实力；（4）在不侵权的情况下直接利用专利技术。,sub-concept,其他类型的纸质信息资源
标准文献指由各种技术标准、具有标准性质的文件、标准分类表和标准检索工具所构成的文献体系，其中技术标准是最有信息价值的部分。技术标准分为国际标准、国家标准、行业标准和企业自定标准。技术标准的作用表现在：（1）获得先进、完整、可靠的技术内容，促进生产经营活动与社会大生产协调一致；（2）作为引进或输出产品时对产品质量进行检测的依据；,sub-concept,其他类型的纸质信息资源
产品样本又称产品资料。指由各公司、企业为推销自己的产品而编印的出版物或商业宣传品。产品资料反映的技术比较成熟，数据真实可靠，对企业进行产品设计、技术模仿、开展技术合作、国内外贸易有重要参考价值。产品资料通常是免费发放或免费索取。,sub-concept,其他类型的纸质信息资源
思考题,sub-concept,信息资源建设
什么是核心期刊？怎样判别核心期刊？,sub-concept,思考题
什么是科技报告？美国的四大报告是指哪些科技报告？,sub-concept,思考题
什么是政府出版物？它有什么作用？,sub-concept,思考题
什么是会议文献？它有什么特点？,sub-concept,思考题
什么是学位论文？它有什么作用？,sub-concept,思考题
什么是专利文献？它有什么特点与作用？,sub-concept,思考题
什么是标准文献？它有什么作用？,sub-concept,思考题
